roi,subj,input,nzmean,nzvoxels,nzsigma
LeftCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2,0.007464,311,0.001142
LeftCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-none_tat2,1.112964,311,0.170268
LeftCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,-0.094128,311,0.164817
LeftCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,731.262543,311,111.865504
LeftCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,0.418500,311,0.630790
LeftCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-default_scale-none_tat2,1.098433,311,0.168044
LeftCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-log_scale-none_tat2,-0.080987,311,0.164817
LeftCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,731.262543,311,111.865504
LeftCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,0.369493,311,0.630790
LeftCaudate,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2,0.007463,311,0.001142
LeftCaudate,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-none_tat2,1.112940,311,0.170287
LeftCaudate,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,-0.094208,311,0.164758
LeftCaudate,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,731.205390,311,111.881114
LeftCaudate,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,0.418405,311,0.630853
LeftCaudate,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-default_scale-none_tat2,1.098397,311,0.168069
LeftCaudate,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-log_scale-none_tat2,-0.081053,311,0.164773
LeftCaudate,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,731.205390,311,111.881114
LeftCaudate,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,0.369389,311,0.630930
LeftPutamen,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2,0.006629,497,0.000557
LeftPutamen,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-none_tat2,0.988570,497,0.083089
LeftPutamen,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,0.015169,497,0.084840
LeftPutamen,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,649.531405,497,54.593545
LeftPutamen,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,-0.042339,497,0.307814
LeftPutamen,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-default_scale-none_tat2,0.975663,497,0.082004
LeftPutamen,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-log_scale-none_tat2,0.028311,497,0.084840
LeftPutamen,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,649.531405,497,54.593545
LeftPutamen,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,-0.091346,497,0.307814
LeftPutamen,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2,0.006629,497,0.000558
LeftPutamen,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-none_tat2,0.988534,497,0.083162
LeftPutamen,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,0.015111,497,0.084900
LeftPutamen,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,649.515073,497,54.608069
LeftPutamen,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,-0.042452,497,0.308147
LeftPutamen,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-default_scale-none_tat2,0.975624,497,0.082081
LeftPutamen,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-log_scale-none_tat2,0.028258,497,0.084905
LeftPutamen,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,649.515073,497,54.608069
LeftPutamen,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,-0.091478,497,0.308123
LeftPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2,0.005217,178,0.000748
LeftPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-none_tat2,0.777976,178,0.111595
LeftPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,0.261127,178,0.139482
LeftPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,511.163456,178,73.321951
LeftPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,-0.822522,178,0.413419
LeftPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-default_scale-none_tat2,0.767818,178,0.110138
LeftPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-log_scale-none_tat2,0.274268,178,0.139482
LeftPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,511.163456,178,73.321951
LeftPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,-0.871530,178,0.413419
LeftPallidum,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2,0.005216,178,0.000748
LeftPallidum,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-none_tat2,0.777837,178,0.111584
LeftPallidum,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,0.261134,178,0.139463
LeftPallidum,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,511.025877,178,73.324221
LeftPallidum,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,-0.823047,178,0.413423
LeftPallidum,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-default_scale-none_tat2,0.767695,178,0.110129
LeftPallidum,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-log_scale-none_tat2,0.274257,178,0.139455
LeftPallidum,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,511.025877,178,73.324221
LeftPallidum,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,-0.871983,178,0.413413
LeftAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2,0.006940,49,0.000985
LeftAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-none_tat2,1.034925,49,0.146861
LeftAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,-0.024625,49,0.137304
LeftAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,679.979639,49,96.491856
LeftAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,0.129427,49,0.544070
LeftAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-default_scale-none_tat2,1.021413,49,0.144943
LeftAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-log_scale-none_tat2,-0.011484,49,0.137304
LeftAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,679.979639,49,96.491856
LeftAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,0.080419,49,0.544070
