roi,subj,input,nzmean,nzvoxels,nzsigma
ventricles,10195_20160317,r2primeMap_MNI152_T1_2009c_al,9.239465,6201,8.089096
ventricles,10195_20170824,r2primeMap_MNI152_T1_2009c_al,8.980692,6132,8.039428
CC,10195_20160317,r2primeMap_MNI152_T1_2009c_al,13.891599,13403,4.696874
CC,10195_20170824,r2primeMap_MNI152_T1_2009c_al,13.613650,13404,4.747196
LeftCaudate,10195_20160317,r2primeMap_MNI152_T1_2009c_al,12.223968,3880,3.105907
LeftCaudate,10195_20170824,r2primeMap_MNI152_T1_2009c_al,9.771060,3879,2.821143
LeftPutamen,10195_20160317,r2primeMap_MNI152_T1_2009c_al,12.522375,6104,1.972019
LeftPutamen,10195_20170824,r2primeMap_MNI152_T1_2009c_al,11.089466,6104,1.807575
LeftPallidum,10195_20160317,r2primeMap_MNI152_T1_2009c_al,18.765229,2207,3.935548
LeftPallidum,10195_20170824,r2primeMap_MNI152_T1_2009c_al,18.352923,2207,3.585040
LeftAccumbens,10195_20160317,r2primeMap_MNI152_T1_2009c_al,11.385622,586,3.174281
LeftAccumbens,10195_20170824,r2primeMap_MNI152_T1_2009c_al,10.454041,587,2.153636
RightCaudate,10195_20160317,r2primeMap_MNI152_T1_2009c_al,11.758749,3760,2.859804
RightCaudate,10195_20170824,r2primeMap_MNI152_T1_2009c_al,10.120979,3771,2.496413
RightPutamen,10195_20160317,r2primeMap_MNI152_T1_2009c_al,12.391681,6352,2.285598
RightPutamen,10195_20170824,r2primeMap_MNI152_T1_2009c_al,11.170428,6352,1.534687
RightPallidum,10195_20160317,r2primeMap_MNI152_T1_2009c_al,17.770577,2159,3.801510
RightPallidum,10195_20170824,r2primeMap_MNI152_T1_2009c_al,17.631214,2159,3.655288
RightAccumbens,10195_20160317,r2primeMap_MNI152_T1_2009c_al,11.341300,516,2.502681
RightAccumbens,10195_20170824,r2primeMap_MNI152_T1_2009c_al,10.746730,519,1.554799
ventricles,10843_20151109,r2primeMap_MNI152_T1_2009c_al,9.702889,7428,4.141004
